Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201712,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10388,False,8341.5
200907,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10388,False,8341.5
201404,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10383,False,8343.0
201003,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,10380,False,8344.0
201007,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10379,False,8345.0
201101,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10378,False,8346.5
201310,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10378,False,8346.5
201609,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10377,False,8348.0
200810,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10374,False,8349.5
201605,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10374,False,8349.5
201509,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,10370,False,8351.0
200711,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10367,False,8353.0
201710,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10367,False,8353.0
201504,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,10367,False,8353.0
201406,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10364,False,8355.0
201011,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,10361,False,8356.0
200510,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10360,False,8357.0
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,10357,False,8358.0
201504,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10356,False,8359.0
201212,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10351,False,8360.0
201201,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,10349,False,8361.0
201008,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,10344,True,8362.5
201401,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10344,False,8362.5
200804,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,10339,False,8364.0
